length,insertionSort,mergeSort,quickSort,heapSort
396100,85634,40,127,7760
397100,85908,44,128,7794
398100,124146,42,130,7833
399100,86678,42,128,7783
400100,87027,46,130,7897
401100,87614,44,128,7926
402100,88338,50,130,7981
403100,88365,43,127,8014
404100,88899,43,130,8055
405100,90398,43,132,8094
406100,90013,43,132,8007
407100,91450,40,136,8133
408100,91178,43,133,8226
409100,91719,43,128,8280
410100,91517,44,133,8305
411100,92048,44,139,8356
412100,93478,43,137,8566
413100,92861,42,134,8338
414100,93406,43,139,8484
415100,94680,47,149,9017
416100,102416,45,135,8550
417100,97172,43,143,8525
418100,95284,46,139,8546
419100,95785,48,139,8596
420100,96021,50,140,8725
421100,97608,45,147,8740
422100,97671,44,140,8784
423100,99048,51,142,8771
424100,98060,44,142,8880
425100,98583,50,146,8918
426100,98892,44,148,9205
427100,99447,47,146,9015
428100,99781,43,143,9070
429100,100855,44,148,9027
430100,100901,45,149,9076
431100,101253,45,144,9104
432100,102408,47,150,9195
433100,102435,46,146,9212
434100,102885,53,146,9158
435100,103766,46,154,9269
436100,104053,46,152,9332
437100,103838,45,152,9532
438100,106390,44,152,9415
439100,105316,85,197,9660
440100,105552,48,158,9482
441100,106080,46,153,9453
442100,106456,46,158,9515
443100,107162,46,157,9625
444100,117304,44,156,9651
445100,108013,46,158,9684
446100,108469,45,160,9721
447100,108806,50,159,9783
448100,109346,47,160,9936
449100,109881,53,161,9908
450100,110229,44,158,10015
451100,110800,46,157,10050
452100,111258,48,166,9968
453100,111865,46,165,10048
454100,112469,47,167,10405
455100,112962,46,166,10122
456100,113461,50,161,10181
457100,113958,47,168,10130
458100,114387,46,162,10289
459100,114691,48,164,10341
460100,163573,48,169,10471
461100,115904,47,164,10523
462100,116466,51,169,10464
463100,116800,47,175,10557
464100,117628,46,169,10555
465100,125661,49,171,10612
466100,118470,45,172,10592
467100,142639,55,178,10673
468100,119705,48,174,10641
469100,119956,56,172,10885
470100,120417,49,177,10946
471100,120713,48,177,10982
472100,121408,48,175,10937
473100,121365,48,181,10956
474100,122543,53,177,11013
475100,122997,52,181,11129
476100,124262,48,185,11205
477100,124232,51,177,11165
478100,124892,49,173,11201
479100,125317,51,181,11290
480100,166481,49,181,11390
481100,126614,49,187,11441
482100,126652,48,185,11493
483100,127223,50,186,11533
484100,128039,55,187,11476
485100,128368,49,187,11526
486100,128662,49,186,11557
487100,129328,50,180,11574
488100,130011,50,188,11669
489100,130685,50,189,11719
490100,131094,60,185,11709
491100,131424,51,193,11828
492100,131023,51,196,11887
493100,132729,53,198,12021
494100,133185,53,193,12096
495100,133499,50,191,12119
496100,140497,59,197,12093
497100,134793,54,196,12050
498100,136697,56,198,12177
499100,136101,52,202,12129
500100,136703,51,192,12276
501100,137285,51,198,12310
502100,137757,53,196,12501
503100,181268,58,197,12524
504100,138703,52,199,12578
505100,139116,54,206,12530
506100,141217,51,201,12597
507100,140363,52,198,12638
508100,141141,58,200,12601
509100,141566,52,209,12753
510100,143670,51,209,12790
511100,142475,53,210,12840
512100,143208,55,205,12814
513100,143711,54,207,12962
514100,144122,51,207,13099
515100,144473,53,213,13152
516100,146279,57,214,13174
517100,146514,60,208,13160
518100,146637,56,211,13302
519100,146851,57,206,13337
520100,147559,55,219,13322
521100,148180,54,215,13449
522100,148546,51,214,13501
523100,149120,57,209,13416
524100,150105,58,214,13466
525100,150955,51,217,13551
526100,151242,61,215,13588
527100,151807,52,214,13634
528100,152740,54,216,13811
529100,152909,56,211,13744
530100,153348,54,224,13841
531100,153923,54,221,13972
532100,154294,62,217,14036
533100,154931,55,218,14064
534100,155455,55,229,14127
535100,156183,54,227,14173
536100,156709,54,221,14243
537100,157274,55,233,14190
538100,158063,55,230,14213
539100,160370,64,231,14399
540100,159122,56,222,14458
541100,159820,63,231,14481
542100,160427,60,227,14544
543100,160940,57,226,14468
544100,161541,56,232,14516
545100,162233,55,236,14566
546100,162643,56,233,14635
547100,163444,55,224,14683
548100,163754,56,237,14720
549100,164738,61,241,14769
550100,165034,61,231,14970
551100,165635,67,234,15026
552100,166208,58,231,14987
553100,167098,56,237,15026
554100,167574,58,239,15216
555100,168099,59,235,15234
556100,168865,57,243,15066
557100,169317,65,237,15197
558100,169783,56,242,15261
559100,170876,57,240,15316
560100,171335,65,245,15365
561100,171638,62,243,15581
562100,174863,63,244,15624
563100,173221,59,235,15697
564100,173578,65,252,15750
565100,173966,65,242,15831
566100,176607,58,250,15788
567100,175338,61,247,15950
568100,176159,64,252,15848
569100,177059,58,254,15865
570100,177292,59,260,15937
571100,181949,59,256,16097
572100,178652,58,259,16221
573100,180178,59,260,16163
574100,179739,61,257,16310
575100,180484,60,255,16371
576100,180955,59,257,16446
577100,181707,68,259,16840
578100,183056,60,256,16496
579100,182825,57,257,16606
580100,183467,59,257,16638
581100,184051,59,261,16637
582100,184982,67,265,16795
583100,185345,59,259,16845
584100,186050,65,268,16902
585100,186782,60,266,16972
586100,187661,60,274,17040
587100,188183,60,267,17088
588100,188556,59,267,17142
589100,189532,64,263,17195
590100,190155,59,271,17229
591100,190854,68,275,17309
592100,191014,63,274,17337
593100,191989,61,279,17294
594100,193052,63,274,17354
595100,193883,68,276,17461
596100,193996,63,272,17500
597100,194395,70,276,17639
598100,227416,62,274,17710
599100,195770,64,272,17780
600100,196459,63,276,17826
601100,197157,59,273,17910
602100,200372,62,274,17874
603100,198707,64,284,18043
604100,199085,62,277,17984
605100,199559,69,288,18129
606100,200842,62,286,18185
607100,201588,63,286,18269
608100,211009,62,281,18236
609100,202558,64,282,18378
610100,203332,63,285,18464
611100,204884,63,293,18766
612100,204651,63,284,18578
613100,205226,75,293,18479
614100,206455,67,290,18519
615100,207035,69,295,18590
616100,207797,67,287,18794
617100,207889,86,291,18889
618100,208540,63,297,18943
619100,209388,73,294,18731
620100,210553,73,302,19041
621100,210695,65,296,19127
622100,211369,70,301,19169
623100,211911,66,281,19091
624100,213255,61,305,19155
625100,213588,67,305,19184
626100,214549,64,308,19297
627100,215339,80,296,19305
628100,226466,65,304,19393
629100,216624,64,294,19470
630100,217199,64,307,19424
631100,218493,73,305,19570
632100,218477,66,306,19547
633100,219105,64,305,19669
634100,219617,69,303,19947
635100,222313,72,316,19960
636100,221123,68,316,20074
637100,221582,71,311,19836
638100,222779,69,309,20178
639100,223067,67,309,20258
640100,223740,65,315,20281
641100,224573,63,319,20382
642100,225577,66,309,20423
643100,225803,66,319,20496
644100,226727,63,315,20581
645100,227271,65,323,20540
646100,227594,65,313,20689
647100,228539,65,327,20734
648100,229376,67,318,20855
649100,230021,67,331,20895
650100,232486,67,329,20743
651100,231302,66,324,20828
652100,234048,66,327,20923
653100,233152,67,323,20931
654100,234059,66,334,20969
655100,234616,66,325,21102
656100,235516,66,332,21350
657100,235750,74,326,21413
658100,236316,72,328,21304
659100,240268,67,333,21379
660100,238229,70,343,21410
661100,239122,70,325,21672
662100,239653,69,341,21739
663100,240857,75,344,21684
664100,240916,68,336,21860
665100,241705,75,336,21935
666100,242348,67,349,22001
667100,245154,68,333,21954
668100,243717,76,345,22043
669100,244797,74,336,22206
670100,245264,68,339,22289
671100,246405,67,344,22303
672100,246531,72,346,22303
673100,247264,72,340,22449
674100,248017,76,357,22638
675100,250563,68,353,22608
676100,250011,71,346,22658
677100,250387,69,356,22616
678100,251470,71,352,22607
679100,252257,77,343,22665
680100,253766,70,356,22905
681100,253225,72,351,22997
682100,254019,75,351,23057
683100,255574,73,360,23161
684100,255219,71,357,23202
685100,255899,71,356,23288
686100,257807,72,357,23313
687100,257413,71,362,23414
688100,258555,71,356,23471
689100,259673,78,365,23539
690100,261544,82,361,23433
691100,261465,72,361,23487
692100,262333,70,353,23474
693100,282310,72,350,23606
694100,263458,79,372,23786
695100,265353,72,368,23850
696100,265066,72,379,24026
697100,265510,72,378,24071
698100,266054,73,371,24292
699100,266697,73,372,24240
700100,268063,77,367,24281
701100,268763,72,376,24376
702100,308001,75,373,24424
703100,269909,74,374,24375
704100,271177,74,367,24561
705100,271415,84,383,24581
706100,272462,76,390,24626
707100,273246,77,392,24835
708100,273901,74,374,24604
709100,273670,73,386,24698
710100,275318,73,382,24951
711100,275949,73,385,24953
712100,276695,73,373,25047
713100,278856,85,384,25100
714100,278828,80,376,24917
715100,279259,75,381,25418
716100,413629,75,389,25330
717100,281047,73,391,25496
718100,282098,74,396,25604
719100,282483,78,395,25621
720100,283273,74,383,25603
721100,283869,73,386,25651
722100,284666,81,396,25731
723100,285707,76,401,25678
724100,286326,75,404,25803
725100,288027,74,402,25935
726100,363361,85,402,26166
727100,289187,75,411,26210
728100,289524,77,395,26204
729100,290126,75,411,26479
730100,293165,77,401,26514
731100,293060,82,411,26288
732100,293551,75,407,26287
733100,293693,83,413,26376
734100,294302,82,406,26441
735100,295251,75,413,26502
736100,296284,83,414,26862
737100,296662,76,415,26963
738100,297964,75,423,27002
739100,298391,76,415,27102
740100,299410,79,416,27143
741100,300515,94,409,26998
742100,312323,76,416,27036
743100,301910,74,420,27078
744100,302612,78,418,27156
745100,303401,86,432,27164
746100,304173,77,424,27307
747100,305447,77,417,27368
748100,305487,83,424,27749
749100,306739,77,417,27848
